alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.875,10.0,5,entropy,0.0,0.6504961568370836,0.02769423227859453,0.5306231811888849,0.011814055609531705,1.0949982131999605,0.01734948700013774
0.875,10.0,5,entropy,1e-06,0.6504961568370836,0.02769423227859453,0.5306231811888849,0.011814055609531705,1.1372770736000348,0.01596006780009702
0.875,,2,gini,1e-05,0.5544299317155412,0.008136350394206543,0.5303385898279886,0.0075979758126508545,1.101177995999933,0.022027943200100708
0.75,,5,gini,1e-05,0.5839755047028277,0.019257254211951267,0.529927818012272,0.017181604491141606,0.9084952452000834,0.01818210100000215
0.75,,5,gini,0.0,0.583753486056967,0.019368369323113803,0.5299056272839697,0.017195045159540977,0.9063783671999772,0.01592118960006701
0.75,,5,gini,1e-06,0.5837159855483456,0.019418278898286765,0.5298855473825919,0.017217396667914848,0.8738077169999997,0.01577483300006861
0.875,10.0,1,entropy,1e-05,0.6360580322714806,0.030386834714251083,0.5296859908681943,0.01565632506716035,1.095557163000103,0.016950764800003525
0.875,10.0,1,entropy,1e-06,0.6360335524673191,0.030398314039956457,0.5296704202395619,0.01566292878717522,1.0594498548000046,0.01552738659993338
0.875,10.0,1,entropy,0.0,0.6360335524673191,0.030398314039956457,0.5296704202395619,0.01566292878717522,1.08645815580021,0.015586905400050454
0.875,,2,gini,0.0,0.5531230778749292,0.008798774918604741,0.5292178313899589,0.007570731513772219,0.942964502599807,0.019127199400190874
0.875,,2,gini,1e-06,0.5530371946589734,0.00880216273838129,0.5291515627607406,0.007606466506445949,0.9776533226000538,0.018953317399973458
0.75,,1,entropy,1e-05,0.5346314371394624,0.01598952628349498,0.5288663962080123,0.015837711902845414,1.5835021263999807,0.017732155599969702
0.625,,5,gini,1e-05,0.5865315004003324,0.020417103755066897,0.5286672731614201,0.012885143063974666,0.9284997865999685,0.01781438779999007
0.75,,1,entropy,1e-06,0.5345583045614573,0.015796994330844978,0.528583246546255,0.01570725325114953,1.5843713154000398,0.01820375340003011
